Day,Susceptible,Confirmed,Recovered,Deaths
1,212599948,52,0,0
2,212599849,151,0,0
3,212599849,151,0,0
4,212599838,162,0,0
5,212599799,200,1,0
6,212599677,321,2,1
7,212599626,372,2,3
8,212599377,621,2,6
9,212599205,793,2,11
10,212598977,1021,2,15
11,212598452,1546,2,25
12,212598074,1924,2,34
13,212597751,2247,2,46
14,212597444,2554,2,59
15,212597009,2985,6,77
16,212596577,3417,6,92
17,212596090,3904,6,111
18,212595738,4256,6,136
19,212595301,4579,120,159
20,212594156,5717,127,201
21,212593037,6836,127,240
22,212591829,8044,127,324
23,212590817,9056,127,359
24,212589513,10360,127,445
25,212588743,11130,127,486
26,212587712,12161,127,564
27,212585839,14034,127,686
28,212583703,16170,127,819
29,212581735,18092,173,950
30,212580189,19638,173,1057
31,212579100,20727,173,1124
32,212577635,22192,173,1223
33,212576397,23430,173,1328
34,212571692,25262,3046,1532
35,212557654,28320,14026,1736
36,212555549,30425,14026,1924
37,212552292,33682,14026,2141
38,212549316,36658,14026,2354
39,212539216,38654,22130,2462
40,212537127,40743,22130,2587
41,212533930,43079,22991,2741
42,212528925,45757,25318,2906
43,212523391,50036,26573,3331
44,212518302,54043,27655,3704
45,212511516,59324,29160,4057
46,212506748,63100,30152,4286
47,212501412,67446,31142,4603
48,212494221,73235,32544,5083
49,212486183,79685,34132,5513
50,212476878,87187,35935,6006
51,212469759,92202,38039,6412
52,212461963,97100,40937,6761
53,212455183,101826,42991,7051
54,212445565,108620,45815,7367
55,212436324,115455,48221,7938
56,212422019,126611,51370,8588
57,212408877,135773,55350,9190
58,212393809,146894,59297,10017
59,212382254,156061,61685,10656
60,212372344,162699,64957,11123
61,212363022,169594,67384,11653
62,212349189,178214,72597,12461
63,212331439,190137,78424,13240
64,212317356,203165,79479,13999
65,212294739,220291,84970,14962
66,212276817,233511,89672,15662
67,212264798,241080,94122,16118
68,212244173,255368,100459,16853
69,212221321,271885,106794,17983
70,212188693,294624,116683,19059
71,212161279,312761,125960,20128
72,212130002,334568,135430,21159
73,212105848,351565,142587,22205
