Day,Susceptible,Infected,Recovered
0,9999900,100,0
1,9999870,119,10
2,9999834,143,21
3,9999790,172,36
4,9999738,207,53
5,9999676,248,74
6,9999602,298,99
7,9999512,358,129
8,9999405,429,164
9,9999276,515,207
10,9999121,619,259
11,9998935,742,321
12,9998712,891,395
13,9998445,1069,484
14,9998124,1283,591
15,9997739,1540,720
16,9997277,1848,874
17,9996723,2217,1059
18,9996057,2661,1280
19,9995259,3193,1547
20,9994302,3831,1866
21,9993153,4596,2249
22,9991775,5515,2709
23,9990122,6616,3260
24,9988139,7938,3922
25,9985760,9523,4716
26,9982907,11423,5668
27,9979486,13702,6810
28,9975384,16434,8181
29,9970466,19709,9824
30,9964570,23633,11795
31,9957505,28335,14158
32,9949041,33966,16992
33,9938903,40707,20388
34,9926765,48774,24459
35,9912240,58422,29337
36,9894867,69952,35179
37,9874102,83722,42174
38,9849301,100151,50546
39,9819709,119728,60562
40,9784438,143026,72534
41,9742455,170707,86837
42,9692562,203529,103908
43,9633380,242358,124261
44,9563338,288164,148497
45,9315315,513134,171550
46,9171914,605221,222863
47,9005383,711230,283385
48,8813236,832254,354508
49,8593191,969074,437734
50,8343367,1121990,534641
51,8062532,1290626,646840
52,7750360,1473735,775903
53,7407701,1669021,923277
54,7036792,1873027,1090179
55,6641389,2081128,1277481
56,6226742,2287663,1485594
57,5799401,2486237,1714361
58,5366840,2670174,1962984
59,4936928,2833068,2230002
60,4517329,2969361,2513309
61,4114921,3074833,2810245
62,3735340,3146930,3117728
63,3382694,3184883,3432421
64,3059490,3189599,3750910
65,2766733,3163396,4069870
66,2504165,3109624,4386209
67,2270555,3032272,4697172
68,2064006,2935593,5000399
69,1882234,2823806,5293958
70,1722782,2700878,5576339
71,1583191,2570381,5846427
72,1461109,2435425,6103465
73,1354356,2298635,6347007
74,1260961,2162167,6576871
75,1179169,2027742,6793088
76,1107437,1896699,6995862
77,1044423,1770044,7185532
78,988963,1648500,7362536
79,940053,1532559,7527386
80,896833,1422523,7680642
81,858560,1318544,7822895
82,824598,1220651,7954749
83,794402,1128782,8076814
84,767501,1042805,8189693
85,743490,962535,8293973
86,722021,887751,8390227
87,702792,818205,8479002
88,685541,753635,8560822
89,670041,693771,8636186
90,628204,680106,8691688
91,615387,624913,8759698
92,603850,573959,8822190
93,593452,526960,8879586
94,584071,483646,8932282
95,575596,443756,8980647
96,567933,407043,9025022
97,560998,373274,9065727
98,554716,342229,9103054
99,549021,313701,9137277
100,543854,287498,9168647
101,539163,263439,9197397
102,534902,241356,9223741
103,531029,221093,9247876
104,527507,202506,9269986
105,524302,185460,9290236
106,521385,169831,9308782
107,518728,155504,9325766
108,516309,142374,9341316
109,514103,130342,9355554
110,512093,119318,9368588
111,510260,109219,9380520
112,508588,99969,9391442
113,507063,91497,9401438
114,505671,83739,9410588
115,504401,76636,9418962
116,503241,70132,9426626
117,502182,64177,9433639
118,501215,58726,9440057
119,500332,53737,9445930
120,499526,49170,9451303
121,498789,44990,9456220
122,498115,41164,9460719
123,497500,37662,9464836
124,496938,34458,9468602
125,496424,31526,9472048
126,495955,28843,9475201
127,495526,26388,9478085
128,495134,24141,9480724
129,494775,22086,9483138
130,494447,20205,9485347
131,494147,18484,9487367
132,493873,16910,9489216
133,493623,15469,9490907
134,493394,14151,9492454
135,492765,13648,9493586
136,492564,12484,9494950
137,492379,11420,9496199
138,492210,10447,9497341
139,492056,9557,9498386
140,491915,8742,9499342
141,491786,7997,9500216
142,491668,7315,9501015
143,491560,6691,9501747
144,491461,6121,9502416
145,491371,5599,9503028
146,491289,5122,9503588
147,491213,4685,9504101
148,491144,4285,9504569
149,491081,3920,9504998
150,491023,3586,9505390
151,490970,3280,9505748
152,490922,3000,9506076
153,490878,2744,9506376
154,490837,2510,9506651
155,490800,2296,9506902
156,490767,2100,9507132
157,490736,1921,9507342
158,490707,1757,9507534
159,490682,1607,9507710
160,490658,1470,9507870
161,490636,1345,9508017
162,490616,1230,9508152
163,490598,1125,9508275
164,490582,1029,9508388
165,490567,941,9508491
166,490553,861,9508585
167,490540,788,9508671
168,490528,720,9508750
169,490518,659,9508822
170,490508,603,9508888
171,490499,551,9508948
172,490491,504,9509003
173,490484,461,9509054
174,490477,422,9509100
175,490471,386,9509142
176,490465,353,9509181
177,490460,323,9509216
178,490455,295,9509248
179,490451,270,9509278
180,490439,260,9509300
181,490435,238,9509326
182,490431,218,9509349
183,490428,199,9509371
184,490425,182,9509391
185,490423,166,9509409
186,490420,152,9509426
187,490418,139,9509441
188,490416,127,9509455
189,490414,116,9509468
190,490412,106,9509480
191,490411,97,9509491
192,490409,89,9509500
193,490408,81,9509509
194,490407,74,9509517
195,490406,68,9509525
196,490405,62,9509532
197,490404,57,9509538
198,490403,52,9509544
200,490402,47,9509549
